Kind,Model,Input,Output,Cache Write,Cache Read,Cost
"ultra","claude-4-sonnet-thinking","7","335","639","39,566","Included"
"ultra","claude-4-sonnet-thinking","12","247","515","86,215","Included"
"ultra","claude-4-sonnet-thinking","8","262","429","39,137","Included"
"ultra","claude-4-sonnet-thinking","12","344","322","85,893","Included"
"ultra","claude-4-sonnet-thinking","9","222","642","38,495","Included"
"ultra","claude-4-sonnet-thinking","12","199","450","85,443","Included"
"ultra","claude-4-sonnet-thinking","10","172","445","38,050","Included"
"ultra","claude-4-sonnet-thinking","11","191","376","37,674","Included"
"ultra","claude-4-sonnet-thinking","12","305","1,060","84,383","Included"
"ultra","claude-4-sonnet-thinking","12","209","576","37,098","Included"
"ultra","claude-4-sonnet-thinking","12","672","757","83,626","Included"
"ultra","claude-4-sonnet-thinking","13","324","5,066","32,032","Included"
"ultra","claude-4-sonnet-thinking","12","667","1,580","82,046","Included"
"ultra","claude-4-sonnet-thinking","12","203","897","81,149","Included"
"ultra","claude-4-sonnet-thinking","13","391","8,780","23,252","Included"
"ultra","claude-4-sonnet-thinking","693","279","2,344","20,908","Included"
"ultra","claude-4-sonnet-thinking","12","222","4,094","77,055","Included"
"ultra","claude-4-sonnet-thinking","12","219","5,099","71,956","Included"
"ultra","claude-4-sonnet-thinking","1,277","361","0","71,956","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","0","0","0","0","Included"
"ultra","claude-4-sonnet-thinking","0","0","0","0","Included"
"ultra","claude-4-sonnet-thinking","12","326","5,107","71,956","Included"
"ultra","claude-4-sonnet-thinking","1,260","386","71,956","0","Included"
"ultra","claude-4-sonnet-thinking","199","1,084","6,401","64,425","Included"
"ultra","claude-4-sonnet-thinking","12","652","484","70,133","Included"
"ultra","claude-4-sonnet-thinking","12","342","1,539","68,594","Included"
"ultra","claude-4-sonnet-thinking","12","224","4,169","64,425","Included"
"ultra","claude-4-sonnet-thinking","292","2,031","64,425","0","Included"
"ultra","claude-4-sonnet-thinking","127","621","99,641","0","Included"
"ultra","claude-4-sonnet-thinking","9","835","1,861","62,469","Included"
"ultra","claude-4-sonnet-thinking","9","244","961","61,508","Included"
"ultra","claude-4-sonnet-thinking","10","436","894","60,614","Included"
"ultra","claude-4-sonnet-thinking","11","405","5,047","55,567","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","11","185","609","54,958","Included"
"ultra","claude-4-sonnet-thinking","11","418","671","54,287","Included"
"ultra","claude-4-sonnet-thinking","12","242","406","53,881","Included"
"ultra","claude-4-sonnet-thinking","13","228","596","53,285","Included"
"ultra","claude-4-sonnet-thinking","13","425","647","52,638","Included"
"ultra","claude-4-sonnet-thinking","191","360","31,730","20,908","Included"
"ultra","claude-4-sonnet-thinking","11","880","625","51,226","Included"
"ultra","claude-4-sonnet-thinking","11","418","569","50,657","Included"
"ultra","claude-4-sonnet-thinking","11","214","348","50,309","Included"
"ultra","claude-4-sonnet-thinking","154","184","2,727","47,582","Included"
"ultra","claude-4-sonnet-thinking","12","723","2,295","47,582","Included"
"ultra","claude-4-sonnet-thinking","253","407","26,674","20,908","Included"
"ultra","claude-4-sonnet-thinking","6","761","3,888","44,054","Included"
"ultra","claude-4-sonnet-thinking","6","1,844","1,237","42,817","Included"
"ultra","claude-4-sonnet-thinking","7","548","1,131","41,686","Included"
"ultra","claude-4-sonnet-thinking","8","523","907","40,779","Included"
"ultra","claude-4-sonnet-thinking","9","462","558","40,221","Included"
"ultra","claude-4-sonnet-thinking","10","337","288","39,933","Included"
"ultra","claude-4-sonnet-thinking","10","188","456","39,477","Included"
"ultra","claude-4-sonnet-thinking","11","262","3,429","36,048","Included"
"ultra","claude-4-sonnet-thinking","12","1,661","586","35,462","Included"
"ultra","claude-4-sonnet-thinking","12","396","665","34,797","Included"
"ultra","claude-4-sonnet-thinking","13","555","11,765","23,032","Included"
"ultra","claude-4-sonnet-thinking","1,749","442","2,124","20,908","Included"
"ultra","claude-4-sonnet-thinking","2","450","13,118","103,198","Included"
"ultra","claude-4-sonnet-thinking","3","183","2,001","101,197","Included"
"ultra","claude-4-sonnet-thinking","13","634","889","59,524","Included"
"ultra","claude-4-sonnet-thinking","4","226","1,820","99,377","Included"
"ultra","claude-4-sonnet-thinking","213","204","59,524","0","Included"
"ultra","claude-4-sonnet-thinking","5","200","183","99,194","Included"
"ultra","claude-4-sonnet-thinking","6","161","448","98,746","Included"
"ultra","claude-4-sonnet-thinking","6","303","332","98,414","Included"
"ultra","claude-4-sonnet-thinking","6","157","364","98,050","Included"
"ultra","claude-4-sonnet-thinking","6","262","299","97,751","Included"
"ultra","claude-4-sonnet-thinking","6","213","495","97,256","Included"
"ultra","claude-4-sonnet-thinking","6","328","716","96,540","Included"
"ultra","claude-4-sonnet-thinking","0","541","828","99,750","Included"
"ultra","claude-4-sonnet-thinking","6","570","514","96,026","Included"
"ultra","claude-4-sonnet-thinking","1","290","4,629","95,121","Included"
"ultra","claude-4-sonnet-thinking","6","346","623","95,403","Included"
"ultra","claude-4-sonnet-thinking","1","205","431","94,690","Included"
"ultra","claude-4-sonnet-thinking","2","140","864","93,826","Included"
"ultra","claude-4-sonnet-thinking","6","468","1,580","93,823","Included"
"ultra","claude-4-sonnet-thinking","3","267","330","93,496","Included"
"ultra","claude-4-sonnet-thinking","7","202","637","93,186","Included"
"ultra","claude-4-sonnet-thinking","4","145","428","93,068","Included"
"ultra","claude-4-sonnet-thinking","8","207","11,928","81,258","Included"
"ultra","claude-4-sonnet-thinking","5","120","387","92,681","Included"
"ultra","claude-4-sonnet-thinking","9","214","365","80,893","Included"
"ultra","claude-4-sonnet-thinking","10","192","559","80,334","Included"
"ultra","claude-4-sonnet-thinking","6","266","373","92,308","Included"
"ultra","claude-4-sonnet-thinking","7","194","346","91,962","Included"
"ultra","claude-4-sonnet-thinking","152","236","80,334","0","Included"
"ultra","claude-4-sonnet-thinking","8","153","605","91,357","Included"
"ultra","claude-4-sonnet-thinking","9","293","546","90,811","Included"
"ultra","claude-4-sonnet-thinking","10","265","624","90,187","Included"
"ultra","claude-4-sonnet-thinking","185","257","5,438","84,749","Included"
"ultra","claude-4-sonnet-thinking","11","72","580","89,709","Included"
"ultra","claude-4-sonnet-thinking","11","412","4,960","84,749","Included"
"ultra","claude-4-sonnet-thinking","176","245","84,749","0","Included"
"Usage-based","claude-4-opus-thinking","7","417","335","84,548","$0.20"
"Usage-based","claude-4-opus-thinking","8","139","334","84,214","$0.17"
"Usage-based","claude-4-opus-thinking","9","226","5,187","79,027","$0.28"
"Usage-based","claude-4-opus-thinking","9","232","613","78,414","$0.18"
"Usage-based","claude-4-opus-thinking","9","170","372","78,042","$0.16"
"Usage-based","claude-4-opus-thinking","10","264","705","77,337","$0.18"
"Usage-based","claude-4-opus-thinking","10","550","4,957","72,380","$0.29"
"Usage-based","claude-4-opus-thinking","142","272","58,852","13,528","$1.38"
"Usage-based","claude-4-opus-thinking","0","0","0","0","$0.00"
"Usage-based","claude-4-opus-thinking","4","164","397","72,522","$0.15"
"Usage-based","claude-4-opus-thinking","5","133","328","72,194","$0.15"
"Usage-based","claude-4-opus-thinking","6","148","358","71,836","$0.15"
"Usage-based","claude-4-opus-thinking","7","168","841","70,995","$0.16"
"Usage-based","claude-4-opus-thinking","8","151","323","70,672","$0.15"
"Usage-based","claude-4-opus-thinking","9","215","313","70,359","$0.15"
"Usage-based","claude-4-opus-thinking","10","165","462","69,897","$0.15"
"Usage-based","claude-4-opus-thinking","11","262","5,150","64,747","$0.26"
"Usage-based","claude-4-opus-thinking","11","216","426","64,321","$0.15"
"Usage-based","claude-4-opus-thinking","12","343","759","63,562","$0.16"
"Usage-based","claude-4-opus-thinking","12","290","5,043","58,519","$0.25"
"Usage-based","claude-4-opus-thinking","12","215","345","58,174","$0.13"
"Usage-based","claude-4-opus-thinking","12","196","10,570","47,604","$0.34"
"Usage-based","claude-4-opus-thinking","5,262","456","47,604","0","$1.21"
"Usage-based","claude-4-opus-thinking","10","390","454","59,041","$0.15"
"Usage-based","claude-4-opus-thinking","10","292","699","58,342","$0.15"
"Usage-based","claude-4-opus-thinking","10","219","999","57,343","$0.15"
"Usage-based","claude-4-opus-thinking","10","555","1,410","55,933","$0.18"
"Usage-based","claude-4-opus-thinking","192","832","5,515","50,418","$0.29"
"Usage-based","claude-4-opus-thinking","7","404","1,119","55,028","$0.16"
"Usage-based","claude-4-opus-thinking","8","633","1,151","53,877","$0.18"
"Usage-based","claude-4-opus-thinking","9","561","354","53,523","$0.15"
"Usage-based","claude-4-opus-thinking","10","199","492","53,031","$0.12"
"Usage-based","claude-4-opus-thinking","10","389","2,613","50,418","$0.18"
"Usage-based","claude-4-opus-thinking","153","314","653","49,765","$0.14"
"Usage-based","claude-4-opus-thinking","11","488","634","49,765","$0.15"
"Usage-based","claude-4-opus-thinking","187","437","28,917","20,848","$0.73"
"Usage-based","claude-4-opus-thinking","0","0","0","0","$0.00"
"Usage-based","claude-4-opus-thinking","0","0","0","0","$0.00"
"Usage-based","claude-4-opus-thinking","2","190","5,093","40,972","$0.21"
"Usage-based","claude-4-opus-thinking","2","179","252","40,720","$0.10"
"Usage-based","claude-4-opus-thinking","3","132","724","39,996","$0.10"
"Usage-based","claude-4-opus-thinking","3","411","650","39,346","$0.12"
"Usage-based","claude-4-opus-thinking","3","179","625","38,721","$0.10"
"Usage-based","claude-4-opus-thinking","4","562","648","38,073","$0.13"
"Usage-based","claude-4-opus-thinking","4","524","1,051","37,022","$0.14"
"Usage-based","claude-4-opus-thinking","4","739","1,631","35,391","$0.17"
"Usage-based","claude-4-opus-thinking","4","232","580","34,811","$0.10"
"Usage-based","claude-4-opus-thinking","5","146","1,243","33,568","$0.10"
"Usage-based","claude-4-opus-thinking","6","148","613","32,955","$0.09"
"Usage-based","claude-4-opus-thinking","7","176","548","32,407","$0.09"
"Usage-based","claude-4-opus-thinking","8","166","898","31,509","$0.09"
"Usage-based","claude-4-opus-thinking","9","259","1,352","30,157","$0.11"
"Usage-based","claude-4-opus-thinking","9","182","205","29,952","$0.08"
"Usage-based","claude-4-opus-thinking","9","142","889","29,063","$0.09"
"Usage-based","claude-4-opus-thinking","9","189","302","28,761","$0.08"
"Usage-based","claude-4-opus-thinking","9","218","721","28,040","$0.09"
"Usage-based","claude-4-opus-thinking","10","291","2,394","25,646","$0.13"
"Usage-based","claude-4-opus-thinking","11","161","141","25,505","$0.06"
"Usage-based","claude-4-opus-thinking","12","103","2,424","23,081","$0.11"
"Usage-based","claude-4-opus-thinking","2,225","174","2,233","20,848","$0.14"
"Usage-based","claude-4-opus-thinking","11","302","324","124,078","$0.26"
"Usage-based","claude-4-opus-thinking","11","230","588","123,490","$0.26"
"Usage-based","claude-4-opus-thinking","11","334","545","122,945","$0.26"
"Usage-based","claude-4-opus-thinking","162","264","7,859","115,086","$0.41"
"Usage-based","claude-4-opus-thinking","0","0","0","0","$0.00"
"Usage-based","claude-4-opus-thinking","11","362","333","122,616","$0.26"
"Usage-based","claude-4-opus-thinking","11","203","1,154","121,462","$0.26"
"Usage-based","claude-4-opus-thinking","11","900","6,376","115,086","$0.43"
"Usage-based","claude-4-opus-thinking","443","202","15,262","99,824","$0.55"
"Usage-based","claude-4-opus-thinking","11","379","703","114,753","$0.26"
"Usage-based","claude-4-opus-thinking","11","449","592","114,161","$0.26"
"Usage-based","claude-4-opus-thinking","11","488","1,711","112,450","$0.29"
"Usage-based","claude-4-opus-thinking","11","333","1,099","111,351","$0.26"
"Usage-based","claude-4-opus-thinking","11","714","11,527","99,824","$0.50"
"Usage-based","claude-4-opus-thinking","160","156","2,447","97,377","$0.25"
"Usage-based","claude-4-opus-thinking","11","332","820","99,075","$0.23"
"Usage-based","claude-4-opus-thinking","11","485","233","98,842","$0.23"
"Usage-based","claude-4-opus-thinking","11","163","255","98,587","$0.20"
"Usage-based","claude-4-opus-thinking","11","142","1,210","97,377","$0.22"
"Usage-based","claude-4-opus-thinking","163","373","97,377","0","$2.23"
"Errored, Not Charged","claude-4-sonnet-thinking","0","0","0","0","Included"
"ultra","claude-4-sonnet-thinking","3","466","288","97,081","Included"
"ultra","claude-4-sonnet-thinking","4","156","550","96,531","Included"
"ultra","claude-4-sonnet-thinking","5","177","577","95,954","Included"
"ultra","claude-4-sonnet-thinking","6","162","284","95,670","Included"
"ultra","claude-4-sonnet-thinking","7","157","346","95,324","Included"
"ultra","claude-4-sonnet-thinking","8","192","560","94,764","Included"
"ultra","claude-4-sonnet-thinking","9","341","584","94,180","Included"
"ultra","claude-4-sonnet-thinking","125","352","2,719","91,461","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","0","0","0","0","Included"
"ultra","claude-4-sonnet-thinking","4","188","318","93,559","Included"
"ultra","claude-4-sonnet-thinking","5","156","306","93,253","Included"
"ultra","claude-4-sonnet-thinking","6","143","371","92,882","Included"
"ultra","claude-4-sonnet-thinking","7","220","260","92,622","Included"
"ultra","claude-4-sonnet-thinking","8","141","291","92,331","Included"
"ultra","claude-4-sonnet-thinking","9","178","294","92,037","Included"
"ultra","claude-4-sonnet-thinking","10","181","576","91,461","Included"
"ultra","claude-4-sonnet-thinking","132","274","604","90,857","Included"
"ultra","claude-4-sonnet-thinking","127","619","596","90,261","Included"
"ultra","claude-4-sonnet-thinking","172","701","90,261","0","Included"
"ultra","claude-4-sonnet-thinking","11","507","260","89,984","Included"
"ultra","claude-4-sonnet-thinking","11","197","1,254","88,730","Included"
"ultra","claude-4-sonnet-thinking","136","444","1,612","87,118","Included"
"ultra","claude-4-sonnet-thinking","11","363","1,447","87,118","Included"
"ultra","claude-4-sonnet-thinking","479","534","12,987","74,131","Included"
"ultra","claude-4-sonnet-thinking","10","533","283","87,053","Included"
"ultra","claude-4-sonnet-thinking","11","170","4,796","82,257","Included"
"ultra","claude-4-sonnet-thinking","11","234","554","81,703","Included"
"ultra","claude-4-sonnet-thinking","11","311","2,142","79,561","Included"
"ultra","claude-4-sonnet-thinking","12","959","5,430","74,131","Included"
"ultra","claude-4-sonnet-thinking","142","449","634","73,497","Included"
"ultra","claude-4-sonnet-thinking","117","1,125","52,589","20,908","Included"
"ultra","claude-4-sonnet-thinking","11","427","494","72,731","Included"
"ultra","claude-4-sonnet-thinking","12","306","445","72,286","Included"
"ultra","claude-4-sonnet-thinking","99","259","51,378","20,908","Included"
"ultra","claude-4-sonnet-thinking","11","541","468","71,501","Included"
"ultra","claude-4-sonnet-thinking","12","298","306","71,195","Included"
"ultra","claude-4-sonnet-thinking","12","206","445","70,750","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","12","187","767","69,983","Included"
"ultra","claude-4-sonnet-thinking","102","468","49,075","20,908","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","0","0","0","0","Included"
"ultra","claude-4-sonnet-thinking","4","358","6,343","64,289","Included"
"ultra","claude-4-sonnet-thinking","5","163","273","64,016","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","6","182","232","63,784","Included"
"ultra","claude-4-sonnet-thinking","6","200","645","63,139","Included"
"ultra","claude-4-sonnet-thinking","7","132","273","62,866","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","8","138","216","62,650","Included"
"ultra","claude-4-sonnet-thinking","9","182","357","62,293","Included"
"ultra","claude-4-sonnet-thinking","10","401","1,448","78,499","Included"
"ultra","claude-4-sonnet-thinking","11","129","494","78,005","Included"
"ultra","claude-4-sonnet-thinking","10","266","420","61,873","Included"
"ultra","claude-4-sonnet-thinking","11","283","505","77,500","Included"
"ultra","claude-4-sonnet-thinking","11","273","834","61,039","Included"
"ultra","claude-4-sonnet-thinking","11","506","386","60,653","Included"
"ultra","claude-4-sonnet-thinking","11","310","1,937","75,563","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","11","178","762","59,891","Included"
"ultra","claude-4-sonnet-thinking","1,345","411","54,655","20,908","Included"
"ultra","claude-4-sonnet-thinking","12","699","5,050","54,841","Included"
"ultra","claude-4-sonnet-thinking","12","310","4,816","50,025","Included"
"ultra","claude-4-sonnet-thinking","12","202","1,018","49,007","Included"
"ultra","claude-4-sonnet-thinking","165","249","28,099","20,908","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","0","0","0","0","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","7","193","304","48,301","Included"
"ultra","claude-4-sonnet-thinking","8","270","520","47,781","Included"
"ultra","claude-4-sonnet-thinking","8","301","416","47,365","Included"
"ultra","claude-4-sonnet-thinking","9","297","1,708","45,657","Included"
"ultra","claude-4-sonnet-thinking","9","194","1,171","44,486","Included"
"ultra","claude-4-sonnet-thinking","9","208","900","43,586","Included"
"ultra","claude-4-sonnet-thinking","9","188","383","43,203","Included"
"ultra","claude-4-sonnet-thinking","147","162","2,913","40,290","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","0","0","0","0","Included"
"ultra","claude-4-sonnet-thinking","539","388","17,801","22,489","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","0","0","0","0","Included"
"ultra","claude-4-sonnet-thinking","10","396","6,899","28,413","Included"
"ultra","claude-4-sonnet-thinking","11","869","679","27,734","Included"
"ultra","claude-4-sonnet-thinking","12","162","669","27,065","Included"
"ultra","claude-4-sonnet-thinking","13","350","1,570","25,495","Included"
"ultra","claude-4-sonnet-thinking","13","192","701","24,794","Included"
"ultra","claude-4-sonnet-thinking","13","248","806","23,988","Included"
"ultra","claude-4-sonnet-thinking","13","388","1,499","22,489","Included"
"ultra","claude-4-sonnet-thinking","5","659","462","75,078","Included"
"ultra","claude-4-sonnet-thinking","292","535","1,581","20,908","Included"
"ultra","claude-4-sonnet-thinking","6","221","1,651","73,427","Included"
"ultra","claude-4-sonnet-thinking","7","321","1,283","72,144","Included"
"ultra","claude-4-sonnet-thinking","8","198","300","71,844","Included"
"ultra","claude-4-sonnet-thinking","9","197","621","71,223","Included"
"ultra","claude-4-sonnet-thinking","10","197","620","70,603","Included"
"ultra","claude-4-sonnet-thinking","11","158","1,872","68,731","Included"
"ultra","claude-4-sonnet-thinking","1,435","358","47,823","20,908","Included"
"ultra","claude-4-sonnet-thinking","0","488","341","69,183","Included"
"ultra","claude-4-sonnet-thinking","0","241","806","68,377","Included"
"ultra","claude-4-sonnet-thinking","0","182","3,608","64,769","Included"
"ultra","claude-4-sonnet-thinking","1","137","1,445","63,324","Included"
"ultra","claude-4-sonnet-thinking","2","126","321","63,003","Included"
"ultra","claude-4-sonnet-thinking","2","194","343","62,660","Included"
"ultra","claude-4-sonnet-thinking","2","204","804","61,856","Included"
"ultra","claude-4-sonnet-thinking","2","668","992","60,864","Included"
"ultra","claude-4-sonnet-thinking","2","204","1,103","59,761","Included"
"ultra","claude-4-sonnet-thinking","2","231","2,047","57,714","Included"
"ultra","claude-4-sonnet-thinking","2","213","409","57,305","Included"
"ultra","claude-4-sonnet-thinking","3","157","282","57,023","Included"
"ultra","claude-4-sonnet-thinking","4","191","365","56,658","Included"
"ultra","claude-4-sonnet-thinking","5","274","484","56,174","Included"
"ultra","claude-4-sonnet-thinking","6","250","874","55,300","Included"
"ultra","claude-4-sonnet-thinking","7","130","166","55,134","Included"
"ultra","claude-4-sonnet-thinking","8","144","172","54,962","Included"
"ultra","claude-4-sonnet-thinking","9","150","472","54,490","Included"
"ultra","claude-4-sonnet-thinking","10","214","186","54,304","Included"
"ultra","claude-4-sonnet-thinking","11","164","1,809","52,495","Included"
"ultra","claude-4-sonnet-thinking","1,508","291","31,587","20,908","Included"
"ultra","claude-4-sonnet-thinking","6","526","183","52,860","Included"
"ultra","claude-4-sonnet-thinking","7","161","1,482","51,378","Included"
"ultra","claude-4-sonnet-thinking","8","163","767","50,611","Included"
"ultra","claude-4-sonnet-thinking","8","232","349","50,262","Included"
"ultra","claude-4-sonnet-thinking","8","217","360","49,902","Included"
"ultra","claude-4-sonnet-thinking","8","216","342","49,560","Included"
"ultra","claude-4-sonnet-thinking","8","214","553","49,007","Included"
"ultra","claude-4-sonnet-thinking","8","250","562","48,445","Included"
"ultra","claude-4-sonnet-thinking","8","182","470","47,975","Included"
"ultra","claude-4-sonnet-thinking","8","309","1,155","46,820","Included"
"ultra","claude-4-sonnet-thinking","8","612","2,487","44,333","Included"
"ultra","claude-4-sonnet-thinking","1,390","546","5,291","39,042","Included"
"ultra","claude-4-sonnet-thinking","3","536","217","44,333","Included"
"ultra","claude-4-sonnet-thinking","4","153","1,846","42,487","Included"
"ultra","claude-4-sonnet-thinking","5","287","243","42,244","Included"
"ultra","claude-4-sonnet-thinking","6","152","294","41,950","Included"
"ultra","claude-4-sonnet-thinking","7","194","305","41,645","Included"
"ultra","claude-4-sonnet-thinking","8","208","647","40,998","Included"
"ultra","claude-4-sonnet-thinking","13","371","268","57,209","Included"
"ultra","claude-4-sonnet-thinking","9","301","1,956","39,042","Included"
"ultra","claude-4-sonnet-thinking","13","213","584","56,625","Included"
"ultra","claude-4-sonnet-thinking","1,342","496","3,052","35,990","Included"
"ultra","claude-4-sonnet-thinking","13","372","844","55,781","Included"
"ultra","claude-4-sonnet-thinking","13","542","909","54,872","Included"
"ultra","claude-4-sonnet-thinking","14","209","602","54,270","Included"
"ultra","claude-4-sonnet-thinking","0","0","0","0","Included"
"ultra","claude-4-sonnet-thinking","108","251","5,697","48,573","Included"
"ultra","claude-4-sonnet-thinking","9","866","315","38,560","Included"
"ultra","claude-4-sonnet-thinking","10","221","2,570","35,990","Included"
"ultra","claude-4-sonnet-thinking","1,354","270","15,082","20,908","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","0","0","0","0","Included"
"ultra","claude-4-sonnet-thinking","5","163","1,568","34,606","Included"
"ultra","claude-4-sonnet-thinking","6","135","486","34,120","Included"
"ultra","claude-4-sonnet-thinking","7","147","400","33,720","Included"
"ultra","claude-4-sonnet-thinking","8","148","307","33,413","Included"
"ultra","claude-4-sonnet-thinking","9","135","834","32,579","Included"
"ultra","claude-4-sonnet-thinking","126","155","125,988","41,816","Included"
"ultra","claude-4-sonnet-thinking","0","137","240","141,102","Included"
"ultra","claude-4-sonnet-thinking","0","125","255","140,847","Included"
"ultra","claude-4-sonnet-thinking","0","131","234","140,613","Included"
"ultra","claude-4-sonnet-thinking","12","91","507","54,012","Included"
"ultra","claude-4-sonnet-thinking","1","121","305","140,308","Included"
"ultra","claude-4-sonnet-thinking","12","388","1,757","52,255","Included"
"ultra","claude-4-sonnet-thinking","2","174","745","139,563","Included"
"ultra","claude-4-sonnet-thinking","12","231","3,682","48,573","Included"
"ultra","claude-4-sonnet-thinking","3,434","144","27,665","20,908","Included"
"ultra","claude-4-sonnet-thinking","3","597","522","139,041","Included"
"ultra","claude-4-sonnet-thinking","4","363","160","138,881","Included"
"ultra","claude-4-sonnet-thinking","5","108","198","138,683","Included"
"ultra","claude-4-sonnet-thinking","6","163","192","138,491","Included"
"ultra","claude-4-sonnet-thinking","7","108","223","138,268","Included"
"ultra","claude-4-sonnet-thinking","8","171","214","138,054","Included"
"ultra","claude-4-sonnet-thinking","9","102","432","137,622","Included"
"ultra","claude-4-sonnet-thinking","10","323","2,226","135,396","Included"
"ultra","claude-4-sonnet-thinking","1,413","353","114,488","20,908","Included"
"ultra","claude-4-sonnet-thinking","5","496","320","135,944","Included"
"ultra","claude-4-sonnet-thinking","6","199","350","135,594","Included"
"ultra","claude-4-sonnet-thinking","7","213","351","135,243","Included"
"ultra","claude-4-sonnet-thinking","8","162","340","134,903","Included"
"ultra","claude-4-sonnet-thinking","8","243","399","134,504","Included"
"ultra","claude-4-sonnet-thinking","8","329","462","134,042","Included"
"ultra","claude-4-sonnet-thinking","9","149","287","133,755","Included"
"ultra","claude-4-sonnet-thinking","10","196","305","133,450","Included"
"ultra","claude-4-sonnet-thinking","11","208","375","133,075","Included"
"ultra","claude-4-sonnet-thinking","12","270","489","132,586","Included"
"ultra","claude-4-sonnet-thinking","13","373","800","131,786","Included"
"ultra","claude-4-sonnet-thinking","13","623","1,941","129,845","Included"
"ultra","claude-4-sonnet-thinking","1,409","328","108,937","20,908","Included"
"ultra","claude-4-sonnet-thinking","7","535","321","129,567","Included"
"ultra","claude-4-sonnet-thinking","7","234","306","129,261","Included"
"ultra","claude-4-sonnet-thinking","7","211","409","128,852","Included"
"ultra","claude-4-sonnet-thinking","7","262","448","128,404","Included"
"ultra","claude-4-sonnet-thinking","8","151","1,209","127,195","Included"
"ultra","claude-4-sonnet-thinking","9","682","234","126,961","Included"
"ultra","claude-4-sonnet-thinking","10","143","1,119","125,842","Included"
"Errored, Not Charged","claude-4-sonnet-thinking","11","414","660","125,182","Included"
"ultra","claude-4-sonnet-thinking","11","499","3,366","121,816","Included"
"ultra","claude-4-sonnet-thinking","1,356","1,247","5,517","116,299","Included"
"ultra","claude-4-sonnet-thinking","12","665","1,181","120,206","Included"
"ultra","claude-4-sonnet-thinking","12","196","879","119,327","Included"
"ultra","claude-4-sonnet-thinking","12","194","3,028","116,299","Included"
"ultra","claude-4-sonnet-thinking","1,376","286","95,391","20,908","Included"
"ultra","claude-4-sonnet-thinking","13","202","633","47,623","Included"
"ultra","claude-4-sonnet-thinking","142","388","4,983","42,640","Included"
"ultra","claude-4-sonnet-thinking","13","275","783","47,356","Included"
"ultra","claude-4-sonnet-thinking","13","680","4,078","43,278","Included"
"ultra","claude-4-sonnet-thinking","13","203","638","42,640","Included"
"ultra","claude-4-sonnet-thinking","140","396","19,126","23,514","Included"
"ultra","claude-4-sonnet-thinking","0","961","11,944","105,216","Included"
