Date,User,Kind,Max Mode,Model,Tokens,Cost
"Jul 6, 03:02 PM","You","ultra","Yes","claude-4-opus-thinking","37,977","Included"
"Jul 6, 03:02 PM","You","ultra","Yes","claude-4-opus-thinking","37,132","Included"
"Jul 6, 03:02 PM","You","ultra","Yes","claude-4-opus-thinking","36,724","Included"
"Jul 6, 03:01 PM","You","ultra","Yes","claude-4-opus-thinking","36,351","Included"
"Jul 6, 03:01 PM","You","ultra","Yes","claude-4-opus-thinking","35,162","Included"
"Jul 6, 03:01 PM","You","ultra","Yes","claude-4-opus-thinking","34,860","Included"
"Jul 6, 03:01 PM","You","ultra","Yes","claude-4-opus-thinking","34,580","Included"
"Jul 6, 03:01 PM","You","ultra","Yes","claude-4-opus-thinking","34,239","Included"
"Jul 6, 03:00 PM","You","ultra","Yes","claude-4-opus-thinking","32,782","Included"
"Jul 6, 03:00 PM","You","ultra","Yes","claude-4-opus-thinking","32,142","Included"
"Jul 6, 03:00 PM","You","ultra","Yes","claude-4-opus-thinking","31,667","Included"
"Jul 6, 03:00 PM","You","ultra","Yes","claude-4-opus-thinking","31,268","Included"
"Jul 6, 02:58 PM","You","ultra","Yes","claude-4-opus-thinking","35,235","Included"
"Jul 6, 02:39 PM","You","ultra","Yes","claude-4-opus-thinking","78,571","Included"
"Jul 6, 02:38 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 02:37 PM","You","ultra","Yes","claude-4-sonnet-thinking","75,273","Included"
"Jul 6, 02:36 PM","You","ultra","Yes","claude-4-sonnet-thinking","73,528","Included"
"Jul 6, 02:36 PM","You","ultra","Yes","claude-4-sonnet-thinking","59,341","Included"
"Jul 6, 02:36 PM","You","ultra","Yes","claude-4-sonnet-thinking","58,580","Included"
"Jul 6, 02:36 PM","You","ultra","Yes","claude-4-sonnet-thinking","57,664","Included"
"Jul 6, 02:36 PM","You","ultra","Yes","claude-4-sonnet-thinking","55,570","Included"
"Jul 6, 02:35 PM","You","ultra","Yes","claude-4-sonnet-thinking","54,565","Included"
"Jul 6, 02:35 PM","You","ultra","Yes","claude-4-sonnet-thinking","49,204","Included"
"Jul 6, 02:35 PM","You","ultra","Yes","claude-4-sonnet-thinking","42,980","Included"
"Jul 6, 02:35 PM","You","ultra","Yes","claude-4-sonnet-thinking","40,731","Included"
"Jul 6, 02:35 PM","You","ultra","Yes","claude-4-sonnet-thinking","38,641","Included"
"Jul 6, 02:35 PM","You","ultra","Yes","claude-4-sonnet-thinking","35,534","Included"
"Jul 6, 02:35 PM","You","ultra","Yes","claude-4-sonnet-thinking","34,637","Included"
"Jul 6, 02:35 PM","You","ultra","Yes","claude-4-sonnet-thinking","34,056","Included"
"Jul 6, 01:53 PM","You","ultra","Yes","claude-4-sonnet-thinking","84,895","Included"
"Jul 6, 01:52 PM","You","ultra","Yes","claude-4-sonnet-thinking","84,327","Included"
"Jul 6, 01:52 PM","You","ultra","Yes","claude-4-sonnet-thinking","82,749","Included"
"Jul 6, 01:52 PM","You","ultra","Yes","claude-4-sonnet-thinking","80,681","Included"
"Jul 6, 01:48 PM","You","ultra","Yes","claude-4-sonnet-thinking","81,048","Included"
"Jul 6, 01:48 PM","You","ultra","Yes","claude-4-sonnet-thinking","80,315","Included"
"Jul 6, 01:47 PM","You","ultra","Yes","claude-4-sonnet-thinking","74,453","Included"
"Jul 6, 01:47 PM","You","ultra","Yes","claude-4-sonnet-thinking","72,834","Included"
"Jul 6, 01:47 PM","You","ultra","Yes","claude-4-sonnet-thinking","71,183","Included"
"Jul 6, 01:47 PM","You","ultra","Yes","claude-4-sonnet-thinking","70,786","Included"
"Jul 6, 01:47 PM","You","ultra","Yes","claude-4-sonnet-thinking","70,399","Included"
"Jul 6, 01:47 PM","You","ultra","Yes","claude-4-sonnet-thinking","68,469","Included"
"Jul 6, 01:47 PM","You","ultra","Yes","claude-4-sonnet-thinking","67,425","Included"
"Jul 6, 01:47 PM","You","ultra","Yes","claude-4-sonnet-thinking","63,183","Included"
"Jul 6, 01:46 PM","You","ultra","Yes","claude-4-sonnet-thinking","62,927","Included"
"Jul 6, 01:36 PM","You","ultra","Yes","claude-4-sonnet-thinking","63,111","Included"
"Jul 6, 01:36 PM","You","ultra","Yes","claude-4-sonnet-thinking","54,555","Included"
"Jul 6, 01:36 PM","You","ultra","Yes","claude-4-sonnet-thinking","54,011","Included"
"Jul 6, 01:36 PM","You","ultra","Yes","claude-4-sonnet-thinking","53,607","Included"
"Jul 6, 01:36 PM","You","ultra","Yes","claude-4-sonnet-thinking","53,265","Included"
"Jul 6, 01:36 PM","You","ultra","Yes","claude-4-sonnet-thinking","52,827","Included"
"Jul 6, 01:36 PM","You","ultra","Yes","claude-4-sonnet-thinking","48,515","Included"
"Jul 6, 01:36 PM","You","ultra","Yes","claude-4-sonnet-thinking","46,729","Included"
"Jul 6, 01:36 PM","You","ultra","Yes","claude-4-sonnet-thinking","46,085","Included"
"Jul 6, 01:35 PM","You","ultra","Yes","claude-4-sonnet-thinking","36,877","Included"
"Jul 6, 01:35 PM","You","ultra","Yes","claude-4-sonnet-thinking","27,748","Included"
"Jul 6, 01:33 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 01:08 PM","You","ultra","Yes","claude-4-sonnet-thinking","93,148","Included"
"Jul 6, 01:08 PM","You","ultra","Yes","claude-4-sonnet-thinking","92,122","Included"
"Jul 6, 01:07 PM","You","ultra","Yes","claude-4-sonnet-thinking","91,674","Included"
"Jul 6, 01:07 PM","You","ultra","Yes","claude-4-sonnet-thinking","91,311","Included"
"Jul 6, 01:07 PM","You","ultra","Yes","claude-4-sonnet-thinking","90,823","Included"
"Jul 6, 01:07 PM","You","ultra","Yes","claude-4-sonnet-thinking","90,259","Included"
"Jul 6, 01:07 PM","You","ultra","Yes","claude-4-sonnet-thinking","92,051","Included"
"Jul 6, 01:06 PM","You","ultra","Yes","claude-4-sonnet-thinking","91,037","Included"
"Jul 6, 01:06 PM","You","ultra","Yes","claude-4-sonnet-thinking","90,835","Included"
"Jul 6, 01:06 PM","You","ultra","Yes","claude-4-sonnet-thinking","88,824","Included"
"Jul 6, 01:06 PM","You","ultra","Yes","claude-4-sonnet-thinking","87,089","Included"
"Jul 6, 01:05 PM","You","ultra","Yes","claude-4-sonnet-thinking","86,698","Included"
"Jul 6, 01:05 PM","You","ultra","Yes","claude-4-sonnet-thinking","86,417","Included"
"Jul 6, 01:05 PM","You","ultra","Yes","claude-4-sonnet-thinking","86,033","Included"
"Jul 6, 12:57 PM","You","ultra","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:57 PM","You","ultra","Yes","claude-4-sonnet-thinking","138,565","Included"
"Jul 6, 12:57 PM","You","ultra","Yes","claude-4-sonnet-thinking","138,347","Included"
"Jul 6, 12:57 PM","You","ultra","Yes","claude-4-sonnet-thinking","135,828","Included"
"Jul 6, 12:57 PM","You","ultra","Yes","claude-4-sonnet-thinking","135,624","Included"
"Jul 6, 12:56 PM","You","ultra","Yes","claude-4-sonnet-thinking","133,875","Included"
"Jul 6, 12:56 PM","You","ultra","Yes","claude-4-sonnet-thinking","133,665","Included"
"Jul 6, 12:56 PM","You","ultra","Yes","claude-4-sonnet-thinking","133,446","Included"
"Jul 6, 12:56 PM","You","ultra","Yes","claude-4-sonnet-thinking","132,204","Included"
"Jul 6, 12:55 PM","You","ultra","Yes","claude-4-sonnet-thinking","131,077","Included"
"Jul 6, 12:55 PM","You","ultra","Yes","claude-4-sonnet-thinking","130,709","Included"
"Jul 6, 12:55 PM","You","ultra","Yes","claude-4-sonnet-thinking","130,496","Included"
"Jul 6, 12:55 PM","You","ultra","Yes","claude-4-sonnet-thinking","124,459","Included"
"Jul 6, 12:55 PM","You","ultra","Yes","claude-4-sonnet-thinking","123,199","Included"
"Jul 6, 12:55 PM","You","ultra","Yes","claude-4-sonnet-thinking","118,694","Included"
"Jul 6, 12:55 PM","You","ultra","Yes","claude-4-sonnet-thinking","118,407","Included"
"Jul 6, 12:54 PM","You","ultra","Yes","claude-4-sonnet-thinking","118,193","Included"
"Jul 6, 12:54 PM","You","ultra","Yes","claude-4-sonnet-thinking","117,904","Included"
"Jul 6, 12:54 PM","You","ultra","Yes","claude-4-sonnet-thinking","117,621","Included"
"Jul 6, 12:54 PM","You","ultra","Yes","claude-4-sonnet-thinking","117,410","Included"
"Jul 6, 12:54 PM","You","ultra","Yes","claude-4-sonnet-thinking","117,068","Included"
"Jul 6, 12:54 PM","You","ultra","Yes","claude-4-sonnet-thinking","116,772","Included"
"Jul 6, 12:54 PM","You","ultra","Yes","claude-4-sonnet-thinking","116,035","Included"
"Jul 6, 12:53 PM","You","ultra","Yes","claude-4-sonnet-thinking","115,383","Included"
"Jul 6, 12:53 PM","You","ultra","Yes","claude-4-sonnet-thinking","115,139","Included"
"Jul 6, 12:53 PM","You","ultra","Yes","claude-4-sonnet-thinking","115,054","Included"
"Jul 6, 12:50 PM","You","ultra","Yes","claude-4-sonnet-thinking","117,392","Included"
"Jul 6, 12:50 PM","You","ultra","Yes","claude-4-sonnet-thinking","116,261","Included"
"Jul 6, 12:50 PM","You","ultra","Yes","claude-4-sonnet-thinking","115,114","Included"
"Jul 6, 12:50 PM","You","ultra","Yes","claude-4-sonnet-thinking","114,598","Included"
"Jul 6, 12:49 PM","You","ultra","Yes","claude-4-sonnet-thinking","114,272","Included"
"Jul 6, 12:49 PM","You","ultra","Yes","claude-4-sonnet-thinking","113,830","Included"
"Jul 6, 12:49 PM","You","ultra","Yes","claude-4-sonnet-thinking","113,455","Included"
"Jul 6, 12:49 PM","You","ultra","Yes","claude-4-sonnet-thinking","112,319","Included"
"Jul 6, 12:48 PM","You","ultra","Yes","claude-4-sonnet-thinking","99,627","Included"
"Jul 6, 12:48 PM","You","ultra","Yes","claude-4-sonnet-thinking","99,211","Included"
"Jul 6, 12:48 PM","You","ultra","Yes","claude-4-sonnet-thinking","92,806","Included"
"Jul 6, 12:48 PM","You","ultra","Yes","claude-4-sonnet-thinking","92,529","Included"
"Jul 6, 12:47 PM","You","ultra","Yes","claude-4-sonnet-thinking","92,155","Included"
"Jul 6, 12:47 PM","You","ultra","Yes","claude-4-sonnet-thinking","90,521","Included"
"Jul 6, 12:47 PM","You","ultra","Yes","claude-4-sonnet-thinking","84,917","Included"
"Jul 6, 12:47 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","84,242","Included"
"Jul 6, 12:47 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","84,033","Included"
"Jul 6, 12:46 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","83,825","Included"
"Jul 6, 12:46 PM","You","ultra","Yes","claude-4-sonnet-thinking","83,616","Included"
"Jul 6, 12:46 PM","You","ultra","Yes","claude-4-sonnet-thinking","83,253","Included"
"Jul 6, 12:46 PM","You","ultra","Yes","claude-4-sonnet-thinking","76,667","Included"
"Jul 6, 12:46 PM","You","ultra","Yes","claude-4-sonnet-thinking","76,287","Included"
"Jul 6, 12:45 PM","You","ultra","Yes","claude-4-sonnet-thinking","75,690","Included"
"Jul 6, 12:45 PM","You","ultra","Yes","claude-4-sonnet-thinking","75,038","Included"
"Jul 6, 12:45 PM","You","ultra","Yes","claude-4-sonnet-thinking","74,358","Included"
"Jul 6, 12:45 PM","You","ultra","Yes","claude-4-sonnet-thinking","74,029","Included"
"Jul 6, 12:45 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:44 PM","You","ultra","Yes","claude-4-sonnet-thinking","74,352","Included"
"Jul 6, 12:44 PM","You","ultra","Yes","claude-4-sonnet-thinking","73,749","Included"
"Jul 6, 12:44 PM","You","ultra","Yes","claude-4-sonnet-thinking","73,232","Included"
"Jul 6, 12:44 PM","You","ultra","Yes","claude-4-sonnet-thinking","69,629","Included"
"Jul 6, 12:44 PM","You","ultra","Yes","claude-4-sonnet-thinking","66,126","Included"
"Jul 6, 12:44 PM","You","ultra","Yes","claude-4-sonnet-thinking","59,646","Included"
"Jul 6, 12:43 PM","You","ultra","Yes","claude-4-sonnet-thinking","53,566","Included"
"Jul 6, 12:43 PM","You","ultra","Yes","claude-4-sonnet-thinking","53,257","Included"
"Jul 6, 12:43 PM","You","ultra","Yes","claude-4-sonnet-thinking","52,910","Included"
"Jul 6, 12:43 PM","You","ultra","Yes","claude-4-sonnet-thinking","52,504","Included"
"Jul 6, 12:43 PM","You","ultra","Yes","claude-4-sonnet-thinking","51,302","Included"
"Jul 6, 12:42 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:42 PM","You","ultra","Yes","claude-4-sonnet-thinking","46,529","Included"
"Jul 6, 12:42 PM","You","ultra","Yes","claude-4-sonnet-thinking","46,118","Included"
"Jul 6, 12:41 PM","You","ultra","Yes","claude-4-sonnet-thinking","38,638","Included"
"Jul 6, 12:41 PM","You","ultra","Yes","claude-4-sonnet-thinking","37,975","Included"
"Jul 6, 12:41 PM","You","ultra","Yes","claude-4-sonnet-thinking","36,606","Included"
"Jul 6, 12:40 PM","You","ultra","Yes","claude-4-sonnet-thinking","31,277","Included"
"Jul 6, 12:39 PM","You","ultra","Yes","claude-4-sonnet-thinking","186,309","Included"
"Jul 6, 12:39 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:37 PM","You","ultra","Yes","claude-4-sonnet-thinking","94,082","Included"
"Jul 6, 12:37 PM","You","ultra","Yes","claude-4-sonnet-thinking","87,875","Included"
"Jul 6, 12:37 PM","You","ultra","Yes","claude-4-sonnet-thinking","87,567","Included"
"Jul 6, 12:34 PM","You","ultra","Yes","claude-4-sonnet-thinking","87,124","Included"
"Jul 6, 12:34 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:33 PM","You","ultra","Yes","claude-4-sonnet-thinking","86,408","Included"
"Jul 6, 12:33 PM","You","ultra","Yes","claude-4-sonnet-thinking","85,956","Included"
"Jul 6, 12:33 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:33 PM","You","ultra","Yes","claude-4-sonnet-thinking","85,356","Included"
"Jul 6, 12:33 PM","You","ultra","Yes","claude-4-sonnet-thinking","80,215","Included"
"Jul 6, 12:33 PM","You","ultra","Yes","claude-4-sonnet-thinking","79,901","Included"
"Jul 6, 12:33 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:32 PM","You","ultra","Yes","claude-4-sonnet-thinking","79,659","Included"
"Jul 6, 12:32 PM","You","ultra","Yes","claude-4-sonnet-thinking","77,813","Included"
"Jul 6, 12:32 PM","You","ultra","Yes","claude-4-sonnet-thinking","72,173","Included"
"Jul 6, 12:32 PM","You","ultra","Yes","claude-4-sonnet-thinking","71,971","Included"
"Jul 6, 12:32 PM","You","ultra","Yes","claude-4-sonnet-thinking","71,770","Included"
"Jul 6, 12:32 PM","You","ultra","Yes","claude-4-sonnet-thinking","70,546","Included"
"Jul 6, 12:32 PM","You","ultra","Yes","claude-4-sonnet-thinking","69,742","Included"
"Jul 6, 12:31 PM","You","ultra","Yes","claude-4-sonnet-thinking","65,733","Included"
"Jul 6, 12:31 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","64,576","Included"
"Jul 6, 12:31 PM","You","ultra","Yes","claude-4-sonnet-thinking","63,407","Included"
"Jul 6, 12:31 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:31 PM","You","ultra","Yes","claude-4-sonnet-thinking","62,298","Included"
"Jul 6, 12:31 PM","You","ultra","Yes","claude-4-sonnet-thinking","61,260","Included"
"Jul 6, 12:31 PM","You","ultra","Yes","claude-4-sonnet-thinking","60,906","Included"
"Jul 6, 12:30 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:30 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:30 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:30 PM","You","ultra","Yes","claude-4-sonnet-thinking","60,547","Included"
"Jul 6, 12:30 PM","You","ultra","Yes","claude-4-sonnet-thinking","60,065","Included"
"Jul 6, 12:30 PM","You","ultra","Yes","claude-4-sonnet-thinking","59,642","Included"
"Jul 6, 12:30 PM","You","ultra","Yes","claude-4-sonnet-thinking","59,200","Included"
"Jul 6, 12:30 PM","You","ultra","Yes","claude-4-sonnet-thinking","58,767","Included"
"Jul 6, 12:30 PM","You","ultra","Yes","claude-4-sonnet-thinking","58,255","Included"
"Jul 6, 12:29 PM","You","ultra","Yes","claude-4-sonnet-thinking","57,789","Included"
"Jul 6, 12:29 PM","You","ultra","Yes","claude-4-sonnet-thinking","136,102","Included"
"Jul 6, 12:29 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:29 PM","You","ultra","Yes","claude-4-sonnet-thinking","135,520","Included"
"Jul 6, 12:29 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:27 PM","You","ultra","Yes","claude-4-sonnet-thinking","135,555","Included"
"Jul 6, 12:27 PM","You","ultra","Yes","claude-4-sonnet-thinking","135,289","Included"
"Jul 6, 12:27 PM","You","ultra","Yes","claude-4-sonnet-thinking","135,020","Included"
"Jul 6, 12:27 PM","You","ultra","Yes","claude-4-sonnet-thinking","134,434","Included"
"Jul 6, 12:25 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:25 PM","You","ultra","Yes","claude-4-sonnet-thinking","129,861","Included"
"Jul 6, 12:24 PM","You","ultra","Yes","claude-4-sonnet-thinking","123,977","Included"
"Jul 6, 12:24 PM","You","ultra","Yes","claude-4-sonnet-thinking","123,712","Included"
"Jul 6, 12:24 PM","You","ultra","Yes","claude-4-sonnet-thinking","123,407","Included"
"Jul 6, 12:23 PM","You","ultra","Yes","claude-4-sonnet-thinking","122,543","Included"
"Jul 6, 12:23 PM","You","ultra","Yes","claude-4-sonnet-thinking","116,150","Included"
"Jul 6, 12:23 PM","You","Aborted, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:23 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:23 PM","You","ultra","Yes","claude-4-sonnet-thinking","115,477","Included"
"Jul 6, 12:22 PM","You","ultra","Yes","claude-4-sonnet-thinking","114,152","Included"
"Jul 6, 12:22 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:21 PM","You","ultra","Yes","claude-4-sonnet-thinking","114,586","Included"
"Jul 6, 12:21 PM","You","ultra","Yes","claude-4-sonnet-thinking","114,217","Included"
"Jul 6, 12:21 PM","You","ultra","Yes","claude-4-sonnet-thinking","108,464","Included"
"Jul 6, 12:21 PM","You","ultra","Yes","claude-4-sonnet-thinking","108,138","Included"
"Jul 6, 12:20 PM","You","ultra","Yes","claude-4-sonnet-thinking","107,546","Included"
"Jul 6, 12:20 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","106,707","Included"
"Jul 6, 12:19 PM","You","ultra","Yes","claude-4-sonnet-thinking","81,013","Included"
"Jul 6, 12:19 PM","You","ultra","Yes","claude-4-sonnet-thinking","79,973","Included"
"Jul 6, 12:19 PM","You","ultra","Yes","claude-4-sonnet-thinking","79,598","Included"
"Jul 6, 12:19 PM","You","ultra","Yes","claude-4-sonnet-thinking","79,365","Included"
"Jul 6, 12:19 PM","You","ultra","Yes","claude-4-sonnet-thinking","79,026","Included"
"Jul 6, 12:19 PM","You","ultra","Yes","claude-4-sonnet-thinking","106,213","Included"
"Jul 6, 12:19 PM","You","ultra","Yes","claude-4-sonnet-thinking","78,734","Included"
"Jul 6, 12:19 PM","You","ultra","Yes","claude-4-sonnet-thinking","93,297","Included"
"Jul 6, 12:19 PM","You","ultra","Yes","claude-4-sonnet-thinking","74,746","Included"
"Jul 6, 12:18 PM","You","ultra","Yes","claude-4-sonnet-thinking","92,604","Included"
"Jul 6, 12:18 PM","You","ultra","Yes","claude-4-sonnet-thinking","91,842","Included"
"Jul 6, 12:18 PM","You","ultra","Yes","claude-4-sonnet-thinking","74,371","Included"
"Jul 6, 12:18 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","0","Included"
"Jul 6, 12:18 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","74,615","Included"
"Jul 6, 12:18 PM","You","Errored, Not Charged","Yes","claude-4-sonnet-thinking","91,160","Included"
"Jul 6, 12:18 PM","You","ultra","Yes","claude-4-sonnet-thinking","74,272","Included"
"Jul 6, 12:18 PM","You","ultra","Yes","claude-4-sonnet-thinking","90,603","Included"
"Jul 6, 12:18 PM","You","ultra","Yes","claude-4-sonnet-thinking","73,611","Included"
"Jul 6, 12:18 PM","You","ultra","Yes","claude-4-sonnet-thinking","73,160","Included"
"Jul 6, 12:18 PM","You","ultra","Yes","claude-4-sonnet-thinking","89,291","Included"
"Jul 6, 12:18 PM","You","ultra","Yes","claude-4-sonnet-thinking","72,870","Included"
"Jul 6, 12:18 PM","You","ultra","Yes","claude-4-sonnet-thinking","88,595","Included"
"Jul 6, 12:18 PM","You","ultra","Yes","claude-4-sonnet-thinking","72,486","Included"
"Jul 6, 12:17 PM","You","ultra","Yes","claude-4-sonnet-thinking","87,583","Included"
"Jul 6, 12:17 PM","You","ultra","Yes","claude-4-sonnet-thinking","72,183","Included"
"Jul 6, 12:17 PM","You","ultra","Yes","claude-4-sonnet-thinking","71,895","Included"
"Jul 6, 12:17 PM","You","ultra","Yes","claude-4-sonnet-thinking","87,174","Included"
"Jul 6, 12:17 PM","You","ultra","Yes","claude-4-sonnet-thinking","86,806","Included"
"Jul 6, 12:17 PM","You","ultra","Yes","claude-4-sonnet-thinking","71,568","Included"
"Jul 6, 12:17 PM","You","ultra","Yes","claude-4-sonnet-thinking","85,983","Included"
